CookerStat, GenerateAssetRegistry=0.027016, Initialize=0.144497, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
SavePackageTransactionIdAC79C9754F7606D961DE1AAA452F82C1_0, Filename=../../../../../../Users/asus/Documents/Unreal Projects/Low_Poly_Tree/Content/Map/SC.umap, AutoPackageBackupDelegate=12.002971, FlushAsyncLoading=0.011723, FlushStreamingFunc=0.101171, BlockTillAllRequestsFinished=0.004843, ResetLoadersForSaveUnMarkAllObjects=3.242910, TagPackageExports=4.098173, BeginCacheForCookedPlatformData=0.003058, SerializeImports=5.872153, GatherLocalizableTextData=69.672997, MarkNames=1.060411, SerializeSummary=0.027779, SerializeNames=0.678651, SerializeGatherableTextData=0.014272, BuildExportMap=1.461029, SortExportsNonSeekfree=2.265833, SortExportsSeekfreeConstructor=0.084862, SortExportsSeekfreeInner=29.131655, SortExportsSeekfree=0.007134, BuildDependencyMap=0.282623, SerializeImportMap=0.105251, SerializeExportMap=0.083845, SerializeDependencyMap=0.021916, SerializeStringAssetReferenceMap=0.003058, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.935042, SerializeExports=22.480183, SerializeBulkData=5.260270, MoveFile=3.764831, UnaccountedTime=1.679435, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId769038E247FCD52B99F0B39EE1717CD4_7, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_D721067A4B4F977C1AD85F92F2BA8622, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.092257, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdC811C1BD4B4D2E764E6B22A56C675EC3_7, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_7C1AA76A5687FADC61F96809541B5E8D, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.079766, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId7F048AA24EA4C1CE607ABBBDDD103E0A_7, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_95CAB3624A21F6FFFFEF508F36C01DD0, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.102192, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdE9AA0BC54FFB71B685809EA63566DD9F_7, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_C29237D5A31E93A03C31FC8F5BFD2322, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.104487, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdDF5FA2C74E36CCF80AFDEB99466BE9A2_7, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_7491D8BD4FC73569CD0DE08FDE0189BD, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.098880, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId4E73053844ECD0CDF5C1548C1F10D458_3, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_7D59BA2FEC4F376545E2D9F5919195E1, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.107292, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId769038E247FCD52B99F0B39EE1717CD4_8, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_BDE3363941AD3C41B1C9A887A5C20835, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.098117, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdC811C1BD4B4D2E764E6B22A56C675EC3_8, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_A446A1BB662ED1D4899240EB3845AF9B, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.086904, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId7F048AA24EA4C1CE607ABBBDDD103E0A_8, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_10ABB6074A0949F924BD76B6B9DC2C1C, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.090469, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdE9AA0BC54FFB71B685809EA63566DD9F_8, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_C15783CF705494F74FD791848D5DFFC0, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.089709, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
